Schlüssel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz Nr;Fassungseigentümer;OK Terrain;Schachtüberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Foto-Negativ-Nr 1;Foto-Negativ-Nr 2;Foto-Negativ-Nr 3;Fassung;Schutzzone;Anzahl Zuleitungen;Schloss;Aufgenommen durch;Erhebungsdatum;Alte Ordnungs-Nr;Feldbegehung;Objektbereinigung;WVA-Nutzung;WVA-Nutzung ergänzen;WVA-Nutzung streichen;WVA-Nutzung Lage neu
1;;Rietlöcher;Sool;8762;;;;J. Marti-Wyss, Warth;720;;;aus Plan gelesen;Trinkwasser ?;WV Weiler/Quartier;;;;;Archiv AFU Glarus;;existiert gemäss Gde. nicht;;;;;;keine vorh.;;;R. Brunner;09.02.1998;1;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
2;Mahdquelle rechts;;Sool;8762;727510;207250;;Gde. Sool;1020;30;72720701;im Feld eingemessen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;4;;;;definitiv;1;ja;R. Brunner;09.02.1998;2;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
3;Mahdquelle links;;Sool;8762;727560;207250;;Gde. Sool;1020;0;72720702;im Feld eingemessen;Trinkwasser;WV Gemeinde Sool;Stollen+Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;5;;;;definitiv;3;ja;R. Brunner;09.02.1998;3;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
4;Wegliquelle;;Sool;8762;727750;207190;;Gde. Sool;1030;20;72720703;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;32;33;;;definitiv;1;ja;R. Brunner;09.02.1998;4;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
5;Stegenrunsquelle;;Sool;8762;727845;207190;;Gde. Sool;1060;20;72720704;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;34;;;;definitiv;1;ja;R. Brunner;09.02.1998;5;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
6;Hüslibachquelle;;Sool;8762;727820;207220;;Gde. Sool;1070;80;72720705;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;35;;;;definitiv;1;ja;R. Brunner;09.02.1998;6;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
7;Gheistquelle unten;Gheistberg;Sool;8762;728495;207195;285;Gde. Sool;1340;20;72820701;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;2;;;;definitiv;2;ja;R. Brunner;09.02.1998;7;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
8;Gheistquelle oben;Gheistberg;Sool;8762;728495;207230;285;Gde. Sool;1355;40;72820702;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;1;;;;definitiv;1;ja;R. Brunner;09.02.1998;8;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
9;Brünnenquelle rechts;Brünnen;Sool;8762;728545;207565;285;Gde. Sool;1490;30;72820704;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Sammelschacht;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;6;7;10;;definitiv;1;ja;R. Brunner;09.02.1998;9;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
10;Brünnenquelle links;Brünnen;Sool;8762;728575;207565;285;Gde. Sool;1505;20;72820705;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;8;9;;;definitiv;1;ja;R. Brunner;09.02.1998;10;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
