6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2716850;1222370;1262;GL_640;Brunnen oberer Sonnenberg;Kluft;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2717870;1222995;1134;;Hüttenwasser Sonnenberg;Kluft;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2718450;1221640;1420;GL_214;Quelle Unter-Niederen;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;8.6;;
;2718490;1221650;1417;GL_715;Quelle Unter-Niederen;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;0.6;;
;2717410;1221475;1362;GL_213;Hüttenwasser Bühls;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717220;1221435;1344;;Quelle Keller Hütte Büels;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;ja;ja;2.6;;
;2717258;1221758;1212;;Quelle Tannboden;Lockergestein;;ungefasst;genutzt;ja;Trink- und Brauchwasser;ja;ja;160;220;280
;2717306;1201438;1778;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2735290;1197960;1700;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;15;20;25
;2735750;1197400;1975;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;20;24;25
;2736200;1198200;2100;;;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;90;108;120
;2734819;1200510;1947;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2733977;1199505;1789;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2733226;1198506;1344;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2729343;1199630;2023;;;gemischt;;ungefasst;genutzt;nein;Tränkewasser;nein;nein;;200;
;2729643;1199906;1974;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;nein;;100;
;2730106;1199643;1730;;;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;5;11;20
;2730790;1199423;1425;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;25;35;50
;2736412;1200261;1970;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736431;1200369;1992;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736171;1199743;1848;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2735652;1199556;1843;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2734674;1198550;1393;;;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2726390;1194725;1559;GL_287;Quelle Rinderboden;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2725000;1195520;2070;GL_1068;Quelle Wichlenmatt;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
;2730361;1197876;1485;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2728872;1195200;1297;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727510;1195760;1730;GL_290;Quelle Obtrittweg;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2727540;1195900;1780;GL_288;Quelle Chamm Ost;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2727520;1195900;1780;GL_289;Quelle Chamm West;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2729224;1195982;1221;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727448;1194705;1401;GL_286;Quelle Nesslenboden;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2733570;1205320;2025;GL_971;Quelle Fitter-Chamm Ober Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2733110;1204690;1820;GL_972;Quelle Wasserböden;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2732370;1205340;1730;GL_973;Quelle Trosboden;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
