ID;Entnahmedatum;Entnahmezeit;Witterung;Schuettungsmenge;Wassertemperatur;Truebung;Elektr_Leitfaehigkeit;pH-Wert;Sauerstoff;Sauerstoffsaettigung;Chemische_Analysen;Bakteriologische_Analysen;Bemerkungen Messdaten
22;23.03.1998;;Schneefall;6000;7.6;;303;;;;;;
23;23.03.1998;;Schneefall;126.3;7.4;;229;;;;;;
24;23.03.1998;;Schneefall;40;8;;285;;;;;;
25;23.03.1998;;Schneefall;10;6.4;;250;;;;;;
26;23.03.1998;;Schneefall;26.9;6.8;;282;;;;;;
27;06.05.1998;;schön;;5.3;;189;;;;;;
28;06.05.1998;;schön;28;5.3;;213;;;;;;
30;05.05.1998;;schön;147;6.2;;380;;;;;;
31;05.05.1998;;schön;46.4;7.1;;377;;;;;;
32;05.05.1998;;schön;;6.1;;362;;;;;;
33;05.05.1998;;schön;10.8;4.7;;321;;;;;;
35;05.05.1998;;schön;18.3;6.4;;300;;;;;;
36;28.03.1998;;Schneefall;300;8;;362;;;;;;
37;05.05.1998;;schön;60;7.5;;387;;;;;;Schüttung >60 l/min
38;06.05.1998;;schön;100;6.4;;362;;;;;;Schüttung 6.5.98 > 100 l/min
40;06.05.1998;;schön;;6.4;;360;;;;;;Schüttung nicht messbar, Überlauf 20 - 30 l/min
41;05.05.1998;;schön;30;6.8;;272;;;;;;"Im Schacht Überlauf; Schüttung grösser als 30 l/min"
42;06.05.1998;;schön;100;6.9;;332;;;;;;Schüttung nicht messbar, > 100 l/min
74;06.05.1998;;schön;6.8;7.5;;374;;;;;;
73;05.05.1998;;schön;;5.5;;199;;;;;;Schüttung nicht messbar
72;06.05.1998;;schön;;6.3;;437;;;;;;Schüttung nicht messbar
71;06.05.1998;;schön;10.2;6.4;;302;;;;;;
70;06.05.1998;;schön;;6;;355;;;;;;Schüttung nicht messbar
69;06.05.1998;;schön;30;7.1;;312;;;;;;"Schüttung nicht messbar; Überlauf 30 l/min"
67;05.05.1998;;schön;60;5.4;;365;;;;;;
68;05.05.1998;;schön;;5.8;;366;;;;;;Schüttung nicht messbar
66;05.05.1998;;schön;8;5.8;;325;;;;;;
